# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85642.452035,7.630830,1.640179,-18.773729,2.370391,-107.392776,34.008396
pos,85648.403351,11.298691,0.858649,46.234139,29.789907,-106.688484,34.254711
pos,85605.485406,12.124440,1.317290,73.991172,-9.840179,-106.387764,33.898708
pos,85555.271506,10.439720,1.446270,56.226621,27.830908,-106.580223,34.237114
pos,85382.392530,6.751020,2.184380,-2.171080,2.622822,-107.212906,34.010666
pos,85236.897498,9.394320,1.055199,45.204630,30.349132,-106.699638,34.259735
pos,85509.847579,6.347170,1.806980,51.645840,-38.778080,-106.629852,33.638752
pos,85796.645241,10.754200,2.063090,-0.645414,2.014175,-107.196381,34.005196
pos,85665.152909,10.791540,2.008060,0.127506,2.009233,-107.188004,34.005154
pos,85359.037570,9.807920,2.055181,47.697392,11.283777,-106.672630,34.088467
pos,85417.449273,11.311290,1.793160,-0.616413,3.300279,-107.196060,34.016750
pos,85714.829114,9.996180,1.363111,30.516628,-64.555276,-106.858765,33.407192
pos,85639.016952,10.843731,0.670229,45.849571,-34.312643,-106.692650,33.678867
pos,85436.211610,10.551150,2.058279,1.109733,4.192910,-107.177361,34.024769
pos,85331.348604,10.695769,1.823841,48.784271,14.549028,-106.660858,34.117798
pos,85289.711751,0.438100,3.297660,-21.833257,4.146910,-107.425926,34.024357
pos,85427.825913,5.926580,0.940870,-21.137250,3.835933,-107.418388,34.021561
pos,85479.822388,9.811009,1.785721,1.728195,-3.015809,-107.170662,33.960011
pos,85261.083674,11.268200,1.052510,0.069506,4.786350,-107.188629,34.030098
pos,85441.456289,10.298100,3.032091,82.077832,-20.024842,-106.300156,33.807217
pos,85708.694343,10.746780,2.897700,-5.760177,-0.670181,-107.251793,33.981083
pos,85771.580398,6.549470,1.073849,57.547393,22.813089,-106.565918,34.192036
pos,85410.962636,10.367360,1.708580,-0.918394,1.691414,-107.199333,34.002296
pos,85265.349453,6.564440,2.078291,58.859970,20.246585,-106.551697,34.168980
pos,85334.861425,6.537240,1.789210,59.424845,22.966677,-106.545578,34.193417
pos,85546.513393,8.450390,1.632300,53.120441,-36.257195,-106.613876,33.661400
pos,85409.117150,9.493151,1.863290,58.444510,-2.203393,-106.556198,33.967308
pos,85255.798334,8.505919,1.245911,-17.423326,2.623962,-107.378151,34.010674
pos,85353.348569,10.464640,2.546870,0.366443,1.543149,-107.185417,34.000965
pos,85390.855162,4.400350,2.225720,45.047650,32.192940,-106.701340,34.276299
pos,85718.286860,9.954460,2.388480,49.236297,9.821656,-106.655960,34.075333
pos,85375.000196,2.859680,2.526980,44.653625,30.518306,-106.705605,34.261253
pos,85230.050771,6.338030,1.374600,49.496669,15.991380,-106.653137,34.130756
pos,85576.436183,11.965850,0.000000,59.284257,-22.785992,-106.547096,33.782413
pos,85771.482548,0.369160,2.329300,0.392922,-3.715316,-107.185127,33.953728
pos,85312.874434,11.014960,1.920969,54.275407,-64.680731,-106.601364,33.406067
pos,85594.757751,10.051370,1.835361,49.831433,12.098094,-106.649513,34.095783
pos,85221.869173,8.843110,1.365010,50.195197,-31.540849,-106.645569,33.703766
