# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85808.941194,9.577440,2.856800,75.555295,20.622569,-106.370819,34.172359
pos,85890.336895,11.866860,2.267240,73.686039,-17.938108,-106.391068,33.825962
pos,86061.889056,10.036941,1.341300,44.874910,-32.573381,-106.703209,33.694492
pos,86231.520267,9.334940,3.119080,-1.475704,-2.595345,-107.205376,33.963787
pos,86396.074056,10.743290,1.591889,66.775781,21.241100,-106.465935,34.177914
pos,86354.863063,13.043710,1.899500,46.896102,-28.323879,-106.681313,33.732666
pos,86056.162800,10.938410,1.309330,28.409696,-63.659603,-106.881592,33.415237
pos,86156.092759,3.239340,1.950740,67.386678,21.913995,-106.459320,34.183960
pos,85879.335664,9.059380,3.139750,50.664875,-20.581026,-106.640480,33.802219
pos,86121.170660,13.630170,2.106650,71.637107,-18.417878,-106.413269,33.821651
pos,86321.811466,9.604520,1.883940,59.049103,20.192221,-106.549644,34.168491
pos,86018.279066,9.759009,1.680281,70.306878,15.602089,-106.427681,34.127258
pos,86280.317982,11.218440,0.335700,51.874060,32.696660,-106.627380,34.280823
pos,86056.628684,12.676310,2.551551,-0.514912,-0.375172,-107.194962,33.983734
pos,86102.006103,11.088500,0.909470,66.306103,20.948372,-106.471024,34.175285
pos,85899.441801,11.990840,0.841080,52.675980,-36.094864,-106.618690,33.662857
pos,86148.654976,9.498960,1.989080,53.899034,-35.125820,-106.605446,33.671562
pos,86251.519093,6.568400,1.140030,68.128076,21.660804,-106.451286,34.181686
pos,85984.512310,10.589610,1.482770,67.761159,22.703982,-106.455261,34.191055
pos,86165.131838,10.565280,1.614420,67.568875,20.680735,-106.457344,34.172882
pos,86325.093082,7.553090,2.586911,51.964843,-39.233900,-106.626396,33.634659
pos,86208.876512,10.804760,1.887879,30.163581,-63.744380,-106.862595,33.414478
pos,85951.914003,9.796350,1.652250,54.669433,5.574815,-106.597099,34.037182
pos,86068.657870,9.102269,2.246881,53.626054,30.252189,-106.608398,34.258862
pos,86002.376420,6.525720,1.119090,73.708735,-12.633644,-106.390823,33.873611
pos,86300.717782,10.646320,1.149449,27.960192,-64.348465,-106.886467,33.409050
pos,86091.112339,11.650060,0.060941,29.398857,-63.011799,-106.870880,33.421059
pos,86314.439331,9.763010,2.476130,55.432266,-28.857253,-106.588829,33.727875
pos,86013.588804,11.846180,1.154060,70.007419,22.158442,-106.430923,34.186157
pos,86023.052438,14.277240,4.388949,77.485704,-25.658531,-106.349907,33.756607
pos,86088.055867,11.008620,2.149990,52.681654,-37.812077,-106.618629,33.647430
pos,85927.618143,9.835960,2.083980,32.155773,-66.891399,-106.841011,33.386208
pos,86280.598318,11.790730,1.998329,74.893963,-19.220410,-106.377983,33.814442
pos,86367.872889,8.867450,2.051270,71.316213,22.117765,-106.416748,34.185791
pos,86183.051231,10.846750,1.662860,66.860260,21.143398,-106.465019,34.177036
pos,86370.743403,12.433160,2.426371,74.121673,-17.135196,-106.386353,33.833176
pos,86247.982110,11.180401,2.051259,71.124559,-18.552457,-106.418823,33.820442
pos,85863.887348,11.716260,1.348249,74.773549,-16.389689,-106.379288,33.839870
pos,85916.890119,9.129040,1.972831,-0.674414,-5.794447,-107.196693,33.935051
pos,86066.117504,13.482550,3.327240,73.411167,-17.768174,-106.394051,33.827488
pos,86137.935044,11.170160,1.777979,73.450254,21.554738,-106.393623,34.180733
pos,86191.791803,11.515941,2.088799,54.101406,-40.244003,-106.603249,33.625584
pos,86050.751244,11.577140,4.391220,77.009721,-24.361023,-106.355064,33.768265
pos,86211.036758,10.598960,1.253031,71.996458,21.117546,-106.409378,34.176804
pos,86217.234597,10.104700,2.802190,47.767371,27.946859,-106.671875,34.238155
pos,86014.027602,10.903130,0.823151,28.417261,-63.212908,-106.881516,33.419250
pos,86366.975230,11.097250,2.593540,56.132685,-68.259239,-106.581245,33.373920
pos,86170.614228,10.506870,1.625189,49.393276,25.042006,-106.654259,34.212059
pos,85864.953872,10.878490,1.716740,65.938556,23.245719,-106.475006,34.195923
pos,86244.868306,9.263730,2.120800,52.831699,-22.574620,-106.617004,33.784313
pos,86370.800318,11.760520,1.713480,76.226714,-25.699209,-106.363548,33.756245
pos,85840.204831,9.553300,1.375330,73.738365,22.079748,-106.390503,34.185448
pos,85924.169350,10.085680,0.707040,71.241191,21.902590,-106.417557,34.183857
pos,86227.062267,11.004160,1.469180,49.284841,-27.558604,-106.655434,33.739540
pos,86275.316097,9.786780,1.977559,68.926844,21.351349,-106.442635,34.178905
pos,85997.054371,10.689760,2.238080,49.434886,-25.524332,-106.653809,33.757812
pos,86216.131403,10.361629,1.755920,64.088844,19.995675,-106.495049,34.166729
pos,86121.952683,3.296760,0.755510,68.806430,20.910736,-106.443939,34.174946
pos,86014.317436,9.412920,1.949920,51.805342,32.867735,-106.628128,34.282360
neg,86275.336825,11.580750,1.631059,53.922991,-36.084220,-106.605186,33.662952
neg,86249.636518,6.661700,2.341460,-0.255171,-1.510729,-107.192146,33.973534
neg,86192.842668,4.258670,1.158180,72.316092,21.841003,-106.405914,34.183304
neg,86138.771417,6.863780,1.707420,-1.052048,-0.358064,-107.200783,33.983887
neg,86337.139287,6.905130,2.025111,29.417770,-65.614800,-106.870674,33.397675
neg,86349.486044,5.876490,2.612620,67.175480,21.056720,-106.461609,34.176258
neg,85992.977008,9.042100,0.623470,44.535102,-28.210970,-106.706894,33.733681
neg,86202.754649,7.089420,0.966880,64.052278,21.299646,-106.495445,34.178440
neg,86116.366068,10.029740,2.274620,73.530951,-23.765682,-106.392754,33.773613
neg,86301.517866,7.743440,1.841671,55.677507,-38.543898,-106.586174,33.640858
neg,85819.839901,6.036100,1.285570,32.205578,-65.572602,-106.840469,33.398056
neg,86184.251091,3.069740,3.952580,60.553334,22.218129,-106.533348,34.186691
neg,85925.215977,8.873580,1.745770,75.289879,23.562017,-106.373695,34.198765
neg,85849.770984,6.331380,0.617050,70.731795,22.923718,-106.423080,34.193031
neg,85956.564649,7.485800,2.193000,67.051914,19.963741,-106.462944,34.166439
neg,85881.517245,9.432290,1.495500,74.275501,-16.939791,-106.384682,33.834930
neg,86095.410503,6.324160,2.363060,47.844284,25.543446,-106.671043,34.216564
neg,86005.783862,6.554560,2.260410,0.875839,-0.778529,-107.179893,33.980110
neg,85811.124800,4.915880,3.129981,0.740295,-3.716836,-107.181366,33.953712
neg,86338.070083,5.471530,2.612900,61.859606,21.289001,-106.519196,34.178345
neg,86200.141319,7.810730,2.157050,47.910481,-28.740922,-106.670326,33.728920
neg,86327.106233,7.404240,1.544549,76.843285,-28.198804,-106.356865,33.733788
neg,85997.175598,6.282810,1.721870,73.330470,20.924422,-106.394920,34.175072
neg,85940.498212,1.388630,4.338380,-8.522767,1.004073,-107.281723,33.996124
neg,86046.519524,8.037240,1.867371,66.555127,21.272654,-106.468330,34.178200
neg,85826.729654,9.928519,0.383882,50.398199,33.090133,-106.643372,34.284355
neg,86384.335806,8.486151,1.401469,78.132535,-19.767850,-106.342896,33.809525
neg,85893.148721,5.379390,1.218520,-17.438456,3.267965,-107.378311,34.016460
neg,86239.712562,7.763770,0.607591,58.382727,1.453049,-106.556870,34.000156
neg,86242.207279,10.291679,1.179610,52.845568,-36.560568,-106.616859,33.658672
neg,85895.519317,7.538090,2.009460,73.435124,-25.516729,-106.393791,33.757881
neg,86124.369003,7.425490,1.616420,29.273400,-68.707455,-106.872238,33.369892
