# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,86120.671210,9.353900,1.653060,67.512766,22.157682,-106.457954,34.186150
pos,86253.965529,9.708630,2.616220,55.576637,-36.076236,-106.587265,33.663025
pos,86282.683764,7.468260,0.635981,74.651874,-24.736247,-106.380608,33.764893
pos,86109.670647,10.305340,2.215250,72.178025,-19.530246,-106.407410,33.811661
pos,86169.849656,9.740809,1.851160,45.611895,-32.833035,-106.695229,33.692158
pos,86010.612266,11.712360,1.523659,72.506485,-17.192601,-106.403847,33.832661
pos,86287.008892,8.834250,3.441330,-0.139800,-1.787111,-107.190903,33.971050
pos,86317.178116,8.734750,2.976450,55.642833,28.075355,-106.586548,34.239307
pos,85998.282406,9.040850,2.638540,63.340511,23.140413,-106.503151,34.194977
pos,85980.923491,8.922590,3.182170,54.634128,28.677539,-106.597481,34.244717
pos,85845.031721,10.969320,2.006960,74.853615,-18.455895,-106.378418,33.821312
pos,86359.354523,9.501040,1.931309,63.498751,21.301927,-106.501442,34.178463
pos,85898.790895,9.263610,1.825081,66.468756,22.951470,-106.469261,34.193279
pos,86201.787240,10.330210,2.143640,53.262290,-37.543679,-106.612343,33.649841
pos,86186.242302,8.699759,2.078260,52.986157,31.379763,-106.615334,34.268993
pos,85816.740200,8.821019,1.305990,72.263765,25.500867,-106.406479,34.216183
pos,86110.093596,9.507410,1.708460,47.774305,-29.936546,-106.671799,33.718178
pos,86010.740588,8.699281,2.618250,31.987446,-67.348360,-106.842834,33.382103
pos,85887.656900,5.431480,1.584210,80.705993,-22.422553,-106.315018,33.785679
pos,85911.784354,9.284100,1.992551,48.812010,29.956420,-106.660553,34.256207
pos,86134.722066,10.332030,2.085130,66.519822,-8.303546,-106.468712,33.912510
pos,85838.159416,9.621780,2.834620,-0.529413,1.909249,-107.195122,34.004253
pos,86069.895746,10.101560,2.253100,55.187024,-36.793991,-106.591492,33.656578
pos,86267.195444,10.133300,2.363111,0.153354,-1.814863,-107.187721,33.970798
pos,86026.544064,8.004971,1.512449,26.619245,-68.830249,-106.900993,33.368790
pos,86293.901668,10.496260,1.573351,73.613538,-12.430254,-106.391853,33.875439
pos,85875.824369,9.117310,2.629490,49.161274,25.629744,-106.656769,34.217339
pos,86154.125288,10.505830,1.994730,80.202272,-20.945606,-106.320473,33.798946
pos,86020.049640,10.046470,2.406910,0.558097,-0.514313,-107.183342,33.982483
pos,85973.256205,9.784349,1.565301,66.929608,19.512103,-106.464272,34.162384
pos,85944.744328,11.164969,1.082601,72.846923,-18.320175,-106.400162,33.822529
pos,86132.032766,5.506270,1.370620,53.936230,-38.145863,-106.605042,33.644432
pos,86234.851017,5.207470,1.800110,75.938603,-13.381051,-106.366669,33.866898
pos,85946.552314,8.261900,2.288461,81.315629,-21.595311,-106.308411,33.793110
pos,85937.179585,9.369960,1.273520,70.709099,24.182069,-106.423325,34.204334
pos,86190.514148,5.049080,1.150070,66.344560,20.360635,-106.470612,34.170006
pos,86074.556885,9.372890,1.758680,71.276495,-18.200423,-106.417175,33.823605
pos,86203.060163,9.801750,2.839470,0.032940,-0.979637,-107.189026,33.978302
pos,86022.901865,8.771250,2.233070,48.268571,26.314424,-106.666443,34.223488
pos,86245.390497,8.119700,0.804540,58.819622,-19.609700,-106.552132,33.810947
pos,86010.924404,3.419760,4.336990,52.049322,-40.083192,-106.625481,33.627029
pos,86214.652879,10.290160,2.292871,71.214712,-20.168926,-106.417847,33.805923
pos,86336.593552,9.604820,2.838810,-0.069191,-2.044483,-107.190132,33.968739
pos,86171.768486,8.243700,1.850520,53.734490,-36.855578,-106.607224,33.656025
pos,86047.226979,10.833120,1.869209,52.735872,-37.495398,-106.618042,33.650276
pos,86180.989226,8.839660,1.974890,-2.992543,-2.330369,-107.221809,33.966167
pos,86369.962965,9.479920,2.645310,48.516964,-37.741366,-106.663750,33.648067
pos,86111.240033,8.115880,1.618750,76.217888,-25.088661,-106.363640,33.761726
pos,86132.691899,9.624450,2.637970,65.796076,21.236538,-106.476547,34.177876
pos,86279.316549,8.535300,2.759640,55.722899,14.507210,-106.585686,34.117424
pos,86011.104594,9.364070,1.656350,72.995076,-16.572550,-106.398560,33.838230
pos,86297.530037,8.898100,1.759570,50.584809,-25.288249,-106.641350,33.759933
pos,86104.239375,9.354160,1.118380,72.329961,22.214327,-106.405762,34.186657
pos,86120.979477,9.389060,1.625760,28.792373,-62.691699,-106.877449,33.423935
