Lightning Mapping Array analyzed data
Analysis program: /home/lawrence/lma/bin/lma_analysis_gold -d 20240726 -t 195000 -s 600 -g /home/lawrence/lma/loc/ll_lma.gps -n 5 -o . --decimate 80
Analysis program version: 10.14.10R
File created: Thu Nov  7 21:22:12 2024
71401.733885392  35.90559509 -106.95181638 577350.56   1.15  16.9 0x184a
71401.734594545  34.55425208 -108.20668881  11750.87   0.03  14.8 0x36d0
71401.734684541  34.54777005 -108.23354473  13467.13   0.34  13.4 0x1e88
71401.735112808  34.50880673 -107.92467243  45960.91   0.60   7.3 0x12c8
71401.735194930  34.54690220 -108.23798674  10549.54   0.14   6.3 0x1e80
71401.735389161  34.54845952 -108.23914949  13311.61   2.62  14.5 0x3e88
71401.735496861  34.55495536 -108.26836854  16472.04   1.45  11.2 0x0e88
71401.735566761  33.99954559 -106.98784285   8592.58   4.42  -0.7 0x14a8
71401.735595055  34.54769410 -108.24350413   8459.13   0.47  10.2 0x1e80
71401.737128622  34.54590119 -108.23612979  13492.56   2.09   9.4 0x3cd8
71401.737212782  34.54714335 -108.24419796  12494.65   1.33   9.2 0x14c8
71401.737919992  34.54691535 -108.23433473   9351.20   0.15   4.0 0x1ec0
71401.739341625  34.54432165 -108.25771274  18194.30   0.01  13.1 0x1e08
71401.740831383  34.54570149 -108.23518576  14209.70   1.19   9.0 0x1cc9
71401.742133048  34.54471589 -108.23384862  13835.71   1.54   5.7 0x1cc9
71401.743325100  34.54482173 -108.23309237  13655.33   3.05   4.2 0x1ec9
71401.800139701  33.44651963 -107.24890385 289180.93   0.06  11.3 0x2ac0
71401.800722330  34.55526626 -108.21845539  16452.43   2.89  16.9 0x34c2
71401.800822105  35.35337620 -109.36749958  72560.44   4.78  21.5 0x30c8
71401.800852049  33.86405827 -106.73225321  20680.99   0.01  -0.2 0x1458
71401.801196648  34.60239845 -106.27573018 120374.63   1.03   2.4 0x0869
71401.801304316  34.54739038 -108.25569423  15476.73   0.31   7.9 0x0e03
71401.890322964  36.77789061 -109.71401712 345723.24   0.45  12.9 0x1849
71401.915059336  34.18075859 -107.37706433  40247.51   0.43   1.7 0x12e0
71401.997642864  34.01600486 -106.60827572  58232.40   0.01   2.0 0x1621
71402.068738138  33.78195038 -106.92229415 225742.73   0.50   2.7 0x1c42
71402.081025760  33.25840261 -106.99164189  93468.21   0.41  10.6 0x22e0
71402.097315229  34.17764698 -106.99605537  79652.29   2.55  -2.2 0x26a0
71402.154755875  34.27379416 -107.28013228  15357.89   0.13  -6.9 0x2621
71402.161420171  35.16183043 -106.52894197  16616.88   1.67  -8.9 0x3c40
71402.163656066  34.29162220 -106.83226576  18203.40   0.01  -4.0 0x26a0
71402.416018665  34.51993671 -105.48251306  54828.20   2.34   5.9 0x0689
71402.453966470  35.88293000 -107.74930473  54433.86   4.22   3.4 0x1823
71402.463518377  33.67223828 -106.60834381 221525.37   2.67  10.5 0x14a2
71402.516181040  34.74097679 -107.20723714  10277.56   3.54   3.9 0x10e8
71402.597658034  32.05463059 -106.33352168  42454.89   0.25   7.6 0x14c1
71402.615306462  34.18063165 -107.26764971  19330.55   0.07  -0.9 0x10e8
71402.682236751  34.05630445 -106.58615286  67762.11   3.17   2.2 0x14a2
71402.687516352  34.30837576 -107.05196140  39225.91   1.48  -8.1 0x0661
71402.690341805  34.39274143 -107.12772216   9718.67   3.30  -3.4 0x1443
71402.704232968  34.08167942 -106.84234804 204134.49   0.55   4.3 0x1681
71402.704927062  35.10314830 -106.74510510  17379.42   0.02  -3.1 0x0ce0
71402.711489451  35.66248707 -105.63056140   7661.03   3.03  15.5 0x1c09
71402.724341152  34.83215441 -108.13358214  16834.59   1.54   7.9 0x3441
71402.746266320  35.66449920 -105.64122122   7391.06   1.14  12.0 0x1c99
71402.749614369  35.65803327 -105.64802665  10123.05   2.14  14.1 0x1c03
71402.750023023  34.74635064 -105.05977958 127888.10   1.92   6.8 0x1e40
71402.750134205  35.66216782 -105.64453150   9281.44   1.97  13.2 0x3c93
71402.753499754  37.43752223 -108.66040531  25173.55   0.08  10.8 0x1609
71402.755841238  33.97076213 -108.96472563 996177.46   0.88  20.8 0x0a62
71402.756365585  35.01620431 -105.29820116 280552.43   0.02   9.2 0x1609
71402.757168935  35.67146938 -105.64010186   8461.38   4.76  14.6 0x1c0b
71402.759974141  35.67311531 -105.63979400  10505.25   1.11  15.7 0x1c81
71402.760287270  34.07705134 -106.79482107 131918.10   0.04   0.5 0x0e0a
71402.763458400  35.66877026 -105.65019059   9540.12   2.04  16.1 0x1c03
71402.765918071  34.19469023 -107.37609261  20159.93   4.52   3.2 0x12e0
71402.766965770  35.66798493 -105.65043977  10593.16   1.87  12.2 0x1c03
71402.771842674  35.67217077 -105.64505282   7663.44   4.03  13.4 0x188b
71402.774279168  36.84365384 -104.22154514  70953.84   0.27  15.4 0x1641
71402.779869604  37.48454470 -109.32001980 244521.40   3.66  12.2 0x3680
71402.782347412  34.45708361 -106.93536421  80013.96   4.79  -1.4 0x08e8
71402.805005000  34.92791861 -104.93603171 394214.93   1.68  11.9 0x1682
71402.805746561  29.55985021 -105.42036172 306794.94   2.96  14.0 0x1609
71402.807810722  34.84776633 -106.01121176  78087.22   0.01   5.8 0x1249
71402.811870325  35.56761227 -106.48586530 1082069.23   0.07  19.5 0x16a0
71402.828288398  34.53492158 -106.39507114  58451.87   4.11  -1.1 0x1e40
71402.830645634  35.67583170 -105.62654503   7972.83   1.29  14.2 0x1c13
71402.831097947  34.82198602 -106.31907194  55907.39   1.07   2.6 0x0629
71402.834514249  34.28402558 -106.33930550  57419.21   0.39   3.1 0x1e80
71402.871411758  35.33547543 -105.91252050 106042.94   1.23   7.8 0x1c09
71402.871733827  35.22574548 -106.20767065   3995.01   2.31   8.4 0x0c89
71402.891203315  34.73862131 -107.71308284  74268.13   2.67   0.7 0x3409
71402.929987561  34.14211226 -106.46361301  71835.43   0.56  -0.3 0x12c2
71403.016236154  34.43928691 -106.78855867 113166.26   3.70   2.4 0x1688
71403.063891263  34.18074218 -106.93393570  36016.50   0.13  -1.5 0x1688
71403.066371387  35.23045535 -107.78528717  38459.83   0.77   6.8 0x1063
71403.081837025  33.95032140 -106.98140169  12854.34   0.00  -7.5 0x3288
71403.090356303  34.12608682 -106.31601382 102675.59   4.02  -2.5 0x1449
71403.100035165  34.12863705 -105.87554865 115218.22   0.54   4.4 0x12c8
71403.113017684  35.12099413 -108.95499318 173853.84   2.13  13.1 0x26a0
71403.114083285  35.96987027 -106.97995483  68489.64   2.36   7.1 0x340a
71403.115814608  34.30793905 -105.68741804 114496.28   1.90   2.3 0x24c8
71403.167182620  34.41716870 -105.19546988 165290.59   1.25   1.8 0x2c42
71403.207712455  32.01338130 -109.17132449 472155.57   1.18  15.7 0x1483
71403.320978486  31.63703982 -105.61295642 659557.10   3.09  20.5 0x14a8
71403.350476825  34.08847101 -108.81480559 145741.97   0.74   6.2 0x1c60
71403.389921048  32.89459539 -102.28921343  85387.81   0.07  10.6 0x1489
71403.456740893  33.48941228 -106.58400629  80138.20   2.05   5.8 0x16a0
71403.548497708  35.18274908 -105.86472160  55987.96   0.78   2.3 0x3c08
71403.581996138  33.46351196 -106.41767099  44152.88   0.68   4.1 0x3421
71403.848426332  34.27175096 -106.80442305  67490.47   0.10   0.2 0x16a0
71403.906503319  34.71313646 -107.88965942 191698.80   0.83   4.3 0x1681
71404.034358629  34.30824665 -107.24797220  91843.99   0.14  -2.7 0x2ac0
71404.047080378  33.54476591 -109.96808988 376104.36   3.26  12.4 0x1443
71404.065513789  34.94323576 -106.80947864  58389.19   0.35  -3.0 0x14c2
71404.124515100  33.91570713 -107.27361455  74377.96   1.04   0.2 0x3680
71404.133684544  34.87482013 -105.25050757 118067.68   1.85  10.6 0x0661
71404.149050073  34.54668747 -107.27088188  60219.50   0.53  -1.4 0x1289
71404.150267610  35.50548254 -111.30519995  68430.48   0.17   9.4 0x1a41
71404.216144383  34.13987050 -106.74346098  85832.17   3.87   0.3 0x3442
71404.222454609  34.26019532 -107.16204220  25309.76   0.43   1.2 0x18a1
71404.225801728  34.05120253 -106.60602358  18878.39   3.91  -4.9 0x1443
71404.365014865  35.16181239 -105.79646197  86242.36   1.89   8.7 0x14a8
71404.535553306  34.61680753 -106.86314548  17972.93   3.23  -2.0 0x1c48
71404.585327026  34.14504183 -107.45511520  14876.44   4.20  -0.6 0x04e8
71404.589471115  33.82994572 -109.08164288 323192.78   0.52  12.0 0x14a1
71404.603267696  34.74719569 -106.87522849  32090.16   0.45   0.2 0x1c42
71404.604185863  35.21408990 -106.38148434  30893.58   3.62   0.4 0x1c48
71404.648616836  34.50505832 -107.21187294 224051.13   4.98   8.4 0x3680
71404.651330858  35.52253635 -107.12056569  44330.32   0.66   2.5 0x16c0
71404.654167953  32.76989561 -105.05628141  52492.99   2.27   6.7 0x24c2
71404.654294836  34.64652373 -107.27908055 128667.92   0.02   0.9 0x2a41
71404.654467842  34.80558735 -105.80634580  35041.43   0.16   4.1 0x0a43
71404.654717169  33.75020964 -107.15941341  14962.28   4.42 -10.2 0x02e2
71404.655833508  33.85432862 -107.34684764  60237.94   4.08  -2.9 0x12c2
71404.658066984  34.22588386 -107.89882300  90907.89   2.51   2.4 0x1681
71404.663771180  32.02254846 -103.86809616  90751.63   2.01   9.3 0x2463
71404.665874233  33.58216595 -107.64577075 362245.06   4.14   9.6 0x06c1
71404.665914458  32.81995166 -105.15085530  24556.00   0.57   8.4 0x2443
71404.670145007  33.46914095 -106.47265340 125061.01   2.04   3.1 0x12c1
71404.673240665  33.41147838 -107.61654487 755452.19   1.90  18.7 0x3281
71404.673402352  32.33475246 -104.38113635  63033.86   0.67  14.3 0x20c3
71404.676823265  31.94932709 -103.77146434  89352.78   0.44   9.8 0x2843
71404.677574497  32.96017475 -105.39193907  10580.45   0.75   6.7 0x20c3
71404.679072039  32.99816362 -105.45584127   4743.08   1.00   3.8 0x2443
71404.681400013  33.29158619 -106.45001443 230297.65   1.27   5.3 0x1641
71404.682060816  34.08043770 -107.43160703  46892.73   3.76  -3.1 0x1283
71404.683810210  32.95316772 -105.38741783  10115.36   0.33   8.1 0x20c3
71404.684409295  34.00399648 -106.94615924  32646.56   0.03  -7.7 0x3241
71404.685442915  32.92138554 -105.33088357  34514.98   0.24   8.0 0x2483
71404.686410866  32.91781858 -105.32179748  17840.61   2.56   8.0 0x24c3
71404.687212361  32.73692805 -105.04269753  32246.80   1.31   6.5 0x2843
71404.688947662  32.56320832 -104.75830376  45309.78   0.79  16.8 0x2443
71404.691210323  32.91738552 -105.32212379  16603.56   2.98  12.4 0x24c3
71404.691804208  32.91688988 -105.32387466  17617.19   2.98  18.1 0x24c3
71404.693454352  33.64854984 -107.29223626  78944.69   2.76   0.1 0x1642
71404.693963723  32.91908193 -105.33247892  27005.56   1.25  11.4 0x26c3
71404.694006652  33.81463388 -107.25479970 110256.29   1.84   2.5 0x12c1
71404.695185349  34.38623680 -107.03381392 134952.02   0.06   1.1 0x2a81
71404.695950915  32.91380941 -105.32698670  14916.21   4.45  14.1 0x24c3
71404.698005436  32.92161972 -105.33583581   6060.42   1.08   6.9 0x24c2
71404.702639526  32.90890362 -105.32734759  15019.87   2.79  10.7 0x24c3
71404.703716803  32.90634177 -105.32575596  16726.04   4.27  14.4 0x24c3
71404.705063185  34.04462629 -107.76373347  40192.41   0.16   5.0 0x02c3
71404.705198592  34.35432727 -106.65690339  23509.75   2.26  -1.8 0x1603
71404.705348924  32.91153119 -105.33316414  25220.17   4.08   7.8 0x2483
71404.707778743  32.90955244 -105.32952989  17271.58   3.10  15.9 0x24c3
71404.708750582  32.90605373 -105.32606021  15116.74   3.49  15.6 0x24c3
71404.710110290  32.91185406 -105.33039396   4005.02   2.77   6.5 0x24c2
71404.711455660  32.89972550 -105.31972453  16010.88   0.33  10.6 0x24c3
71404.711603881  33.93826523 -107.53509009  85761.74   1.33   4.4 0x0ac1
71404.714849988  32.90593324 -105.33321694  16376.88   2.94  11.2 0x24c3
71404.715622781  32.90639003 -105.33769887  14663.27   3.11   5.3 0x24c3
71404.715843979  33.91037566 -107.47202263  88145.83   3.02  -0.9 0x06c1
71404.715881807  33.48082652 -106.53968840 126552.77   0.66  11.2 0x04c9
71404.718127773  32.89445197 -105.32838847  15137.60   0.51   4.6 0x2443
71404.719757637  32.74682060 -105.10096315  29918.12   0.88   7.7 0x2443
71404.721611574  32.89797914 -105.33630058  18707.81   3.64   8.0 0x24c3
71404.722351583  32.95709298 -105.43980570   4084.67   2.14   4.4 0x24c3
71404.722684510  33.84461830 -107.04745616  43250.12   0.27   0.1 0x06a1
71404.728962909  32.88324830 -105.32213432  11741.11   0.00  10.8 0x24c1
71404.730978047  31.96994149 -103.87646370  65450.60   2.12   9.7 0x2642
71404.732423447  34.08959747 -106.98730513  54019.94   3.79   0.4 0x14e0
71404.732522578  34.25359508 -107.17577258  34640.19   0.21  -1.8 0x30a1
71404.733475786  32.52641556 -105.05332600 174924.35   1.04  11.8 0x2682
71404.737729077  35.88715093 -108.42034373 415798.19   1.84  12.3 0x1681
71404.738724056  32.90905574 -105.35568161   6241.58   4.53   6.4 0x24c2
71404.738862399  32.90144659 -105.35205062  18599.06   2.15  10.0 0x24c3
71404.740916725  32.89408703 -105.34391510  17088.90   3.09  15.8 0x24c3
71404.741336427  33.88637246 -108.03497466  16977.38   1.43  -1.7 0x3203
71404.741963295  32.60162568 -104.78655614  43508.17   0.98  12.5 0x2443
71404.755822571  34.71384434 -105.68788448 592571.65   0.01  19.7 0x14a1
71404.765280417  33.48248533 -107.36832319 358761.78   0.02  10.4 0x04c9
71404.773975487  32.93425685 -105.32639516  16402.64   3.00   6.7 0x24c3
71404.774892458  33.97992939 -107.40273842  26360.67   3.78  -9.1 0x0649
71404.775149693  35.93332595 -107.11334346  74607.01   3.52   4.8 0x1641
71404.776313219  34.04114621 -107.72697095  53346.50   1.77  -0.0 0x0ac1
71404.776467609  33.83758647 -107.31625433  48647.48   1.14  -5.6 0x22c2
71404.776877669  34.73521478 -107.54536970  22385.84   4.08   3.1 0x2681
71404.778074002  33.59836014 -106.92273935  33658.32   0.81  -6.9 0x22c1
71404.779287093  33.42646294 -106.91326743  83340.69   0.01  -2.0 0x2a81
71404.780022837  32.94493108 -105.35243174  23934.01   0.83   7.9 0x2443
71404.780360427  37.38350276 -108.64067656 130368.44   2.68  11.6 0x0683
71404.781246144  34.31227812 -108.02922172 105263.15   1.14   5.7 0x1681
71404.781649013  33.89841316 -107.41656576  91998.95   4.27   0.5 0x12c1
71404.783145890  31.95995858 -103.78786890 110059.91   0.28  21.8 0x2642
71404.784034378  32.93570670 -105.34954583  20684.52   0.36   7.4 0x2483
71404.784067330  33.81454828 -106.93308620  25086.98   0.02  -7.5 0x2682
71404.784306834  33.69449057 -107.04278973  10665.97   0.76  -7.9 0x34c0
71404.784481275  32.96948568 -105.40987640   9736.90   0.67  18.8 0x20c3
71404.784816671  34.12449791 -106.85576503  31032.72   0.82  -4.4 0x0643
71404.785593418  33.60042285 -107.57088197  39068.28   1.24  -4.8 0x22c8
71404.786632126  34.29969521 -107.44888793  33519.77   4.95   0.7 0x3a80
71404.788755412  33.72547766 -106.89438142  50771.08   0.03  -3.4 0x2283
71404.790250563  32.97390986 -105.42568238   5125.88   1.50   7.9 0x20c3
